               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081364,            0.028713,            0.066011,           0.0034376,                   1,             0.14677,            0.044977,            0.054194,            0.014945,            0.061196,            0.070441,           0.0032843,           0.0032843
                   1,            0.054691,            0.021826,            0.058238,             0.25048,             0.33244,             0.34043,             0.16477,            0.060437,           0.0090282,             0.04836,            0.040376,           0.0065521,           0.0065521
                   2,            0.055775,             0.01484,            0.046793,              0.3988,             0.53201,             0.58636,             0.27698,            0.052337,            0.007004,            0.035457,            0.010244,            0.009754,            0.009754
                   3,            0.053571,             0.01121,             0.03363,             0.61643,             0.78182,             0.80925,             0.43325,            0.042667,           0.0060033,            0.025168,            0.009703,            0.009703,            0.009703
                   4,            0.046424,           0.0097409,            0.023756,             0.70786,             0.90721,             0.89765,              0.4536,             0.04212,           0.0053831,            0.014654,            0.009703,            0.009703,            0.009703
                   5,            0.043178,           0.0086793,            0.016448,             0.65598,             0.93923,              0.9074,             0.57089,            0.036322,           0.0050342,            0.009593,            0.009604,            0.009604,            0.009604
                   6,            0.038394,           0.0085844,            0.011746,             0.79014,             0.96364,             0.92621,             0.65107,            0.028298,           0.0047933,           0.0072777,            0.009505,            0.009505,            0.009505
                   7,             0.03582,           0.0078239,           0.0099009,             0.90783,             0.98797,             0.96739,             0.64535,              0.0324,           0.0047857,              0.0059,            0.009406,            0.009406,            0.009406
                   8,            0.033691,            0.007536,           0.0086453,              0.9237,             0.96709,             0.97679,             0.71272,            0.027534,           0.0047394,           0.0066566,            0.009307,            0.009307,            0.009307
                   9,             0.03224,           0.0076146,           0.0084566,             0.88185,             0.98182,             0.97722,             0.71491,            0.027741,           0.0045766,           0.0043739,            0.009208,            0.009208,            0.009208
